country,cluster_id,return_P,total_earthquakes,total_gaps,exact_mode,min_gap,max_gap,mean_gap,median_gap,std_gap
New Zealand,1,0.988,118,117,187,182,921,360.8888888888889,323.0,152.10189891753814
New Zealand,2,2.908,38,37,591,181,3550,1062.1891891891892,957.0,771.8554982335727
New Zealand,3,,,,,,,,,
Algeria,1,27.683,5,4,4952,4952,23164,10111.25,6164.5,7556.2215880359145
Algeria,2,20.075,4,3,766,766,11703,7332.333333333333,9528.0,4727.240656262617
Algeria,3,,0,,,,,,,
Somalia,1,2.875,2,1,1050,1050,1050,1050.0,1050.0,0.0
Somalia,2,5.598,3,2,857,857,3232,2044.5,2044.5,1187.5
Somalia,3,,,,,,,,,
South Africa,1,,0,,,,,,,
South Africa,2,,1,,,,,,,
South Africa,3,,0,,,,,,,
Saint Helena,1,12.679,8,7,287,287,19610,4631.0,2348.0,6260.929073000497
Saint Helena,2,,0,,,,,,,
